ko_symbol,event,database,term,overlap,adjusted_p_value,odds_ratio,combined_score,genes,gene_number
Cd2bp2,SE,GO_Biological_Process_2023,Mitotic Sister Chromatid Cohesion (GO:0007064),4/19,0.004314349179544586,19.322549019607845,174.96568304944864,MAU2;STAG1;STAG2;PDS5B,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Translation (GO:0006417),11/202,0.004350512917690058,4.2450459349995064,38.31408409922703,EIF4A2;METTL14;POLDIP3;FMR1;METTL3;IGF2BP1;GEMIN5;CNOT10;EIF4E2;EIF4G3;EIF4G1,276
Cd2bp2,SE,GO_Biological_Process_2023,Histone H3 Acetylation (GO:0043966),5/36,0.00446343087644085,11.720628496607548,105.0402498224343,TADA2A;ZZZ3;TADA3;KAT14;TAF2,276
Cd2bp2,SE,GO_Biological_Process_2023,Activation Of Protein Kinase Activity (GO:0032147),7/81,0.00446343087644085,6.9099768913895305,61.90754326210201,CARD10;STK11;CAB39;IRAK1;STRADA;STRADB;VEGFA,276
Cd2bp2,SE,GO_Molecular_Function_2023,Ubiquitin-Like Protein Transferase Activity (GO:0019787),13/240,0.004576978541644056,4.245506775430897,44.07067150390753,FBXW11;FANCL;NSMCE2;KLHL13;RMND5B;ATG16L1;MDM2;ERCC8;RBCK1;BCOR;BTRC;FBXL5;BIRC2,276
Cd2bp2,SE,GO_Biological_Process_2023,Epigenetic Regulation Of Gene Expression (GO:0040029),7/83,0.005104158992700601,6.727450596752103,59.236634410732265,ATF2;MTA1;DNMT3A;MTF2;KAT7;ARID1B;EZH2,276
Cd2bp2,SE,GO_Cellular_Component_2023,SUMO Ligase Complex (GO:0106068),3/12,0.005612361018073096,24.072039072039072,181.9556410915423,SLF1;NSMCE2;SMC5,276
Cd2bp2,SE,GO_Biological_Process_2023,Histone Acetylation (GO:0016573),6/60,0.005780670338063167,8.094650205761317,70.0095920628111,TADA2A;RUVBL2;TADA3;MSL3;KAT14;TAF2,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Histone Deacetylation (GO:0031063),4/21,0.005780670338063167,17.04757785467128,147.32998562321333,TADA2A;ZZZ3;TADA3;KAT14,276
Cd2bp2,SE,GO_Biological_Process_2023,Organelle Transport Along Microtubule (GO:0072384),5/39,0.0060849946671657235,10.684827436509659,91.59337824274586,UXT;FBXW11;COPG2;COPG1;BORCS7,276
Cd2bp2,SE,GO_Biological_Process_2023,Camera-Type Eye Morphogenesis (GO:0048593),3/9,0.006258815387065734,36.11355311355312,306.6358765702625,KDM2B;IFT122;VEGFA,276
Cd2bp2,SE,GO_Biological_Process_2023,Telomeric Loop Disassembly (GO:0090657),3/9,0.006258815387065734,36.11355311355312,306.6358765702625,XRCC3;TERF1;TERF2,276
Cd2bp2,SE,GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),29/1025,0.006258815387065734,2.207664666764223,18.74318776299866,ATF2;RBPJ;FOXM1;CDC73;UXT;BCLAF1;MTA1;SIN3A;MIER1;UIMC1;PCGF1;BTRC;MTA3;E2F6;BPTF;KDM2B;FBXW11;PCGF2;DNMT3A;VEGFA;GCLC;DLG1;CREB1;TFDP2;BIN1;CNOT2;MDM2;BCOR;EZH2,276
Cd2bp2,SE,GO_Biological_Process_2023,mRNA Export From Nucleus (GO:0006406),6/62,0.006297140545340419,7.804761904761905,66.07944994791451,CHTOP;POLDIP3;FMR1;ZC3H11A;THOC7;THOC6,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Double-Strand Break Repair (GO:2000779),7/88,0.006363058019633132,6.310569553444399,53.25519714630405,PBRM1;SLF1;PPP4R2;RUVBL2;FOXM1;ARID1B;SPIDR,276
Cd2bp2,SE,GO_Biological_Process_2023,Telomere Organization (GO:0032200),6/63,0.0066510723737195744,7.667446393762183,64.2376474498834,RAD50;RUVBL2;ACTR5;TERF1;TERF2;EZH2,276
Cd2bp2,SE,GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),33/1243,0.006818347738969929,2.0778900112233445,17.32254438079046,ATF2;RBPJ;FOXM1;CDC73;IKBKB;MED14;BCLAF1;MTA1;SIN3A;RUVBL2;KAT7;BTRC;MTA3;BPTF;NCOA2;PCGF5;FBXW11;NFYC;ACTR5;MSL3;RFXANK;GTF2F2;ARID1B;VEGFA;MSL1;MED22;MAVS;CREB1;TFDP2;KANSL1;TADA3;CDK12;TAF2,276
Cd2bp2,SE,GO_Molecular_Function_2023,Histone H3K14 Acetyltransferase Activity (GO:0036408),3/8,0.00710106466002053,43.33846153846154,385.1095177780551,BRPF3;JADE1;KAT7,276
Cd2bp2,SE,GO_Molecular_Function_2023,Histone H4K16 Acetyltransferase Activity (GO:0046972),3/8,0.00710106466002053,43.33846153846154,385.1095177780551,JADE1;MSL3;KAT7,276
Cd2bp2,SE,GO_Molecular_Function_2023,Double-Stranded Telomeric DNA Binding (GO:0003691),3/8,0.00710106466002053,43.33846153846154,385.1095177780551,RAD50;TERF1;TERF2,276
Cd2bp2,SE,GO_Molecular_Function_2023,Histone H4 Acetyltransferase Activity (GO:0010485),4/20,0.00710106466002053,18.113970588235293,160.17688667521392,BRPF3;JADE1;MSL3;KAT7,276
